photo_filename,class_name,crop_filename,confidence,x1,y1,x2,y2
image0.jpg,LPN_bottom,crops\LPN_bottom\image0__LPN_bottom__01__0.579.jpg,0.5793,180,1022,386,1072
image0.jpg,LPN_right,crops\LPN_right\image0__LPN_right__01__0.719.jpg,0.7190,493,591,694,633
image1.jpg,LPN_bottom,crops\LPN_bottom\image1__LPN_bottom__01__0.846.jpg,0.8455,54,326,118,342
image1.jpg,LPN_right,crops\LPN_right\image1__LPN_right__01__0.780.jpg,0.7800,155,191,220,205
image2.jpg,LPN_bottom,crops\LPN_bottom\image2__LPN_bottom__01__0.558.jpg,0.5576,27,161,61,169
image2.jpg,LPN_right,crops\LPN_right\image2__LPN_right__01__0.688.jpg,0.6882,76,93,108,101
image3.jpg,LPN_bottom,crops\LPN_bottom\image3__LPN_bottom__01__0.785.jpg,0.7846,40,344,98,360
image3.jpg,LPN_right,crops\LPN_right\image3__LPN_right__01__0.791.jpg,0.7910,134,199,193,215
image4.jpg,LPN_bottom,crops\LPN_bottom\image4__LPN_bottom__01__0.613.jpg,0.6126,62,382,144,404
image4.jpg,LPN_right,crops\LPN_right\image4__LPN_right__01__0.394.jpg,0.3941,198,210,275,227
image5.jpg,LPN_bottom,crops\LPN_bottom\image5__LPN_bottom__01__0.663.jpg,0.6627,38,229,84,240
image5.jpg,LPN_right,crops\LPN_right\image5__LPN_right__01__0.426.jpg,0.4257,106,137,152,147
image6.jpg,LPN_bottom,crops\LPN_bottom\image6__LPN_bottom__01__0.722.jpg,0.7221,54,328,119,343
image6.jpg,LPN_right,crops\LPN_right\image6__LPN_right__01__0.498.jpg,0.4975,158,195,221,210
image7.jpg,LPN_bottom,crops\LPN_bottom\image7__LPN_bottom__01__0.743.jpg,0.7432,34,213,75,224
image7.jpg,LPN_right,crops\LPN_right\image7__LPN_right__01__0.774.jpg,0.7737,101,125,144,134
image8.jpg,LPN_bottom,crops\LPN_bottom\image8__LPN_bottom__01__0.830.jpg,0.8300,13,220,91,239
image8.jpg,LPN_right,crops\LPN_right\image8__LPN_right__01__0.590.jpg,0.5896,145,113,211,126
image9.jpg,LPN_bottom,crops\LPN_bottom\image9__LPN_bottom__01__0.732.jpg,0.7323,69,381,146,398
image9.jpg,LPN_right,crops\LPN_right\image9__LPN_right__01__0.779.jpg,0.7790,191,222,264,238
image10.jpg,LPN_bottom,crops\LPN_bottom\image10__LPN_bottom__01__0.691.jpg,0.6910,36,226,82,236
image10.jpg,LPN_right,crops\LPN_right\image10__LPN_right__01__0.461.jpg,0.4610,107,132,153,143
image11.jpg,LPN_bottom,crops\LPN_bottom\image11__LPN_bottom__01__0.693.jpg,0.6934,322,2019,727,2112
image11.jpg,LPN_right,crops\LPN_right\image11__LPN_right__01__0.661.jpg,0.6606,971,1197,1361,1279
image12.jpg,LPN_bottom,crops\LPN_bottom\image12__LPN_bottom__01__0.752.jpg,0.7516,33,278,85,291
image12.jpg,LPN_right,crops\LPN_right\image12__LPN_right__01__0.657.jpg,0.6566,120,164,171,176
image13.jpg,LPN_bottom,crops\LPN_bottom\image13__LPN_bottom__01__0.654.jpg,0.6536,50,325,117,341
image13.jpg,LPN_right,crops\LPN_right\image13__LPN_right__01__0.740.jpg,0.7397,159,191,223,205
image14.jpg,LPN_bottom,crops\LPN_bottom\image14__LPN_bottom__01__0.731.jpg,0.7307,36,225,82,236
image14.jpg,LPN_right,crops\LPN_right\image14__LPN_right__01__0.697.jpg,0.6965,108,132,152,142
image15.jpg,LPN_bottom,crops\LPN_bottom\image15__LPN_bottom__01__0.730.jpg,0.7301,54,309,124,324
image15.jpg,LPN_right,crops\LPN_right\image15__LPN_right__01__0.758.jpg,0.7579,165,174,230,188
image16.jpg,LPN_bottom,crops\LPN_bottom\image16__LPN_bottom__01__0.718.jpg,0.7179,60,369,132,386
image16.jpg,LPN_right,crops\LPN_right\image16__LPN_right__01__0.685.jpg,0.6854,176,219,250,235
image17.jpg,LPN_bottom,crops\LPN_bottom\image17__LPN_bottom__01__0.675.jpg,0.6746,36,228,80,238
image17.jpg,LPN_right,crops\LPN_right\image17__LPN_right__01__0.665.jpg,0.6653,107,135,152,145
image18.jpg,LPN_bottom,crops\LPN_bottom\image18__LPN_bottom__01__0.504.jpg,0.5039,66,408,142,428
image18.jpg,LPN_right,crops\LPN_right\image18__LPN_right__01__0.538.jpg,0.5377,178,238,241,254
image19.jpg,LPN_bottom,crops\LPN_bottom\image19__LPN_bottom__01__0.761.jpg,0.7614,70,405,156,426
image19.jpg,LPN_right,crops\LPN_right\image19__LPN_right__01__0.679.jpg,0.6788,208,232,292,250
image20.jpg,LPN_bottom,crops\LPN_bottom\image20__LPN_bottom__01__0.653.jpg,0.6530,30,175,66,185
image20.jpg,LPN_right,crops\LPN_right\image20__LPN_right__01__0.646.jpg,0.6455,89,102,126,111
image21.jpg,LPN_bottom,crops\LPN_bottom\image21__LPN_bottom__01__0.752.jpg,0.7524,43,233,113,248
image21.jpg,LPN_right,crops\LPN_right\image21__LPN_right__01__0.709.jpg,0.7092,159,109,225,122
