photo_filename,crop_filename,detection_index,confidence,class_name,x1,y1,x2,y2
image0.jpg,image0__det01__Tag_0.938.jpg,1,0.9384,Tag,233,258,1387,1454
image1.jpg,image1__det01__Tag_0.920.jpg,1,0.9196,Tag,281,503,2521,2894
image2.jpg,image2__det01__Tag_0.958.jpg,1,0.9580,Tag,297,258,2362,2480
image3.jpg,image3__det01__Tag_0.918.jpg,1,0.9176,Tag,526,1210,2063,2908
image4.jpg,image4__det01__Tag_0.916.jpg,1,0.9158,Tag,432,170,2196,1958
image5.jpg,image5__det01__Tag_0.923.jpg,1,0.9228,Tag,634,1152,2348,2960
image6.jpg,image6__det01__Tag_0.920.jpg,1,0.9198,Tag,373,1103,2594,3318
image7.jpg,image7__det01__Tag_0.930.jpg,1,0.9305,Tag,304,352,2112,2208
image8.jpg,image8__det01__Tag_0.908.jpg,1,0.9077,Tag,626,476,2661,2569
image9.jpg,image9__det01__Tag_0.912.jpg,1,0.9121,Tag,219,1406,2444,3735
image10.jpg,image10__det01__Tag_0.922.jpg,1,0.9221,Tag,123,85,488,469
image11.jpg,image11__det01__Tag_0.906.jpg,1,0.9060,Tag,195,170,372,360
image12.jpg,image12__det01__Tag_0.908.jpg,1,0.9076,Tag,78,30,424,434
image13.jpg,image13__det01__Tag_0.932.jpg,1,0.9316,Tag,68,161,521,626
image14.jpg,image14__det01__Tag_0.864.jpg,1,0.8637,Tag,156,112,404,381
image15.jpg,image15__det01__Tag_0.894.jpg,1,0.8943,Tag,128,74,499,462
image16.jpg,image16__det01__Tag_0.917.jpg,1,0.9167,Tag,332,0,566,254
image17.jpg,image17__det01__Tag_0.805.jpg,1,0.8048,Tag,118,110,479,390
image18.jpg,image18__det01__Tag_0.980.jpg,1,0.9801,Tag,70,108,503,559
image19.jpg,image19__det01__Tag_0.914.jpg,1,0.9142,Tag,65,330,313,595
image20.jpg,image20__det01__Tag_0.927.jpg,1,0.9267,Tag,62,117,351,449
image21.jpg,image21__det01__Tag_0.880.jpg,1,0.8803,Tag,118,145,488,530
image22.jpg,image22__det01__Tag_0.905.jpg,1,0.9046,Tag,167,0,414,269
image23.jpg,image23__det01__Tag_0.932.jpg,1,0.9321,Tag,90,44,474,415
image24.jpg,image24__det01__Tag_0.926.jpg,1,0.9256,Tag,47,48,460,486
image25.jpg,image25__det01__Tag_0.877.jpg,1,0.8772,Tag,202,80,453,350
image26.jpg,image26__det01__Tag_0.888.jpg,1,0.8884,Tag,147,55,525,514
image27.jpg,image27__det01__Tag_0.916.jpg,1,0.9162,Tag,60,0,545,487
image28.jpg,image28__det01__Tag_0.899.jpg,1,0.8987,Tag,186,0,387,210
image29.jpg,image29__det01__Tag_0.798.jpg,1,0.7976,Tag,107,0,492,295
image30.jpg,image30__det01__Tag_0.939.jpg,1,0.9389,Tag,39,0,536,486
image31.jpg,image31__det01__Tag_0.916.jpg,1,0.9163,Tag,190,0,416,240
image32.jpg,image32__det01__Tag_0.937.jpg,1,0.9372,Tag,140,0,574,463
image33.jpg,image33__det01__Tag_0.944.jpg,1,0.9439,Tag,132,64,528,479
image34.jpg,image34__det01__Tag_0.849.jpg,1,0.8489,Tag,285,323,601,640
image35.jpg,image35__det01__Tag_0.884.jpg,1,0.8843,Tag,65,278,369,614
image36.jpg,image36__det01__Tag_0.942.jpg,1,0.9418,Tag,113,157,482,541
image37.jpg,image37__det01__Tag_0.873.jpg,1,0.8729,Tag,201,138,428,375
image38.jpg,image38__det01__Tag_0.867.jpg,1,0.8669,Tag,154,145,466,436
image39.jpg,image39__det01__Tag_0.865.jpg,1,0.8651,Tag,133,130,460,468
image40.jpg,image40__det01__Tag_0.855.jpg,1,0.8553,Tag,178,189,400,425
image41.jpg,image41__det01__Tag_0.879.jpg,1,0.8789,Tag,113,141,455,468
image42.jpg,image42__det01__Tag_0.926.jpg,1,0.9264,Tag,113,40,561,503
image43.jpg,image43__det01__Tag_0.917.jpg,1,0.9171,Tag,141,113,445,419
image44.jpg,image44__det01__Tag_0.896.jpg,1,0.8957,Tag,127,11,462,350
image45.jpg,image45__det01__Tag_0.898.jpg,1,0.8984,Tag,69,8,522,486
image46.jpg,image46__det01__Tag_0.925.jpg,1,0.9255,Tag,35,81,440,495
image47.jpg,image47__det01__Tag_0.871.jpg,1,0.8713,Tag,120,211,498,601
image48.jpg,image48__det01__Tag_0.895.jpg,1,0.8951,Tag,54,114,437,513
image49.jpg,image49__det01__Tag_0.910.jpg,1,0.9101,Tag,58,2,477,430
image50.jpg,image50__det01__Tag_0.868.jpg,1,0.8685,Tag,68,126,515,569
image51.jpg,image51__det01__Tag_0.692.jpg,1,0.6920,Tag,202,216,431,451
